Time ((min)),Degree of Cure [z = 49.990 mm: Degree of Cure],Degree of Cure [z = 49.521 mm: Degree of Cure 1],Degree of Cure [z = 48.125 mm: Degree of Cure 2],Degree of Cure [z = 46.250 mm: Degree of Cure 3],Degree of Cure [z = 44.375 mm: Degree of Cure 4],Degree of Cure [z = 42.500 mm: Degree of Cure 5],Degree of Cure [z = 40.625 mm: Degree of Cure 6],Degree of Cure [z = 38.750 mm: Degree of Cure 7],Degree of Cure [z = 36.875 mm: Degree of Cure 8],Degree of Cure [z = 35.000 mm: Degree of Cure 9],Degree of Cure [z = 33.125 mm: Degree of Cure 10],Degree of Cure [z = 31.250 mm: Degree of Cure 11],Degree of Cure [z = 29.375 mm: Degree of Cure 12],Degree of Cure [z = 27.500 mm: Degree of Cure 13],Degree of Cure [z = 25.625 mm: Degree of Cure 14],Degree of Cure [z = 23.750 mm: Degree of Cure 15],Degree of Cure [z = 21.875 mm: Degree of Cure 16],Degree of Cure [z = 20.479 mm: Degree of Cure 17],Degree of Cure [z = 20.010 mm: Degree of Cure 18]
19.6862452,0.050186373,0.050149722,0.050112867,0.050075998,0.050050323,0.050032656,0.050020857,0.050013284,0.050008607,0.050005793,0.050004121,0.050003132,0.050002561,0.050002257,0.050002148,0.050002205,0.05000244,0.050002745,0.050002882
19.922392,0.050197297,0.050158768,0.050120031,0.050081263,0.050054205,0.050035488,0.05002288,0.050014696,0.050009582,0.050006474,0.050004611,0.050003505,0.050002863,0.050002521,0.050002396,0.050002458,0.050002717,0.050003055,0.050003207
20.2082887,0.050211203,0.050170281,0.050129152,0.050087978,0.050059175,0.050039143,0.05002552,0.050016563,0.050010887,0.050007393,0.050005279,0.050004015,0.050003277,0.050002882,0.050002736,0.050002803,0.050003095,0.050003477,0.050003648
20.4210387,0.050222045,0.050179257,0.050136264,0.050093221,0.050063069,0.050042024,0.05002762,0.050018066,0.05001195,0.050008149,0.050005832,0.050004438,0.050003622,0.050003183,0.050003019,0.05000309,0.050003409,0.050003827,0.050004014
20.6738605,0.050235529,0.050190419,0.05014511,0.050099748,0.050067931,0.050045641,0.050030281,0.05001999,0.050013325,0.050009137,0.050006559,0.050004998,0.050004079,0.050003583,0.050003394,0.050003471,0.050003825,0.050004289,0.050004497
20.8875822,0.050247428,0.050200269,0.050152916,0.050105513,0.050072234,0.050048858,0.050032665,0.050021731,0.050014583,0.050010048,0.050007235,0.05000552,0.050004506,0.050003957,0.050003746,0.050003827,0.050004213,0.05000472,0.050004947
21.140979,0.050262191,0.050212488,0.050162599,0.05011267,0.050077588,0.050052877,0.050035665,0.050023944,0.050016199,0.050011231,0.050008118,0.050006207,0.05000507,0.050004451,0.050004211,0.050004297,0.050004724,0.050005286,0.050005537
21.3964015,0.050277786,0.050225392,0.050172826,0.050120232,0.050083256,0.05005715,0.050038877,0.050026335,0.050017963,0.050012535,0.050009101,0.050006975,0.050005703,0.050005006,0.050004734,0.050004825,0.050005297,0.050005919,0.050006197
21.6065507,0.050291206,0.050236495,0.050181625,0.050126741,0.050088142,0.050060846,0.050041671,0.050028432,0.050019526,0.050013702,0.050009987,0.050007672,0.05000628,0.050005513,0.050005211,0.050005307,0.050005819,0.050006493,0.050006795
21.8625225,0.050308262,0.050250605,0.050192805,0.050135014,0.05009436,0.050065563,0.050045256,0.050031143,0.050021565,0.050015237,0.050011162,0.050008602,0.050007051,0.050006193,0.050005851,0.050005953,0.050006516,0.05000726,0.050007592
22.0986692,0.050324749,0.050264242,0.050203609,0.05014301,0.050100376,0.05007014,0.050048751,0.050033807,0.050023586,0.050016774,0.050012348,0.050009546,0.050007839,0.050006889,0.050006506,0.050006613,0.050007228,0.05000804,0.050008403
22.3290917,0.050341543,0.05027813,0.05021461,0.050151153,0.050106509,0.050074816,0.050052337,0.050036557,0.05002569,0.050018387,0.050013603,0.050010551,0.05000868,0.050007634,0.050007209,0.050007321,0.050007989,0.050008872,0.050009266
22.564491,0.050359466,0.05029295,0.050226348,0.050159843,0.050113058,0.050079819,0.050056189,0.050039527,0.05002798,0.050020158,0.050014991,0.050011671,0.050009622,0.050008469,0.050007997,0.050008115,0.050008841,0.0500098,0.050010229
22.8501377,0.050382293,0.05031182,0.050241292,0.050170906,0.050121401,0.050086204,0.050061122,0.050043355,0.050030954,0.050022479,0.050016826,0.050013161,0.050010881,0.050009591,0.050009056,0.05000918,0.05000998,0.050011039,0.050011511
23.0638595,0.050400162,0.05032659,0.050252985,0.050179562,0.050127933,0.05009121,0.050065002,0.050046381,0.050033321,0.05002434,0.050018309,0.050014373,0.050011911,0.05001051,0.050009926,0.050010054,0.050010912,0.05001205,0.050012556
23.3172562,0.050422305,0.050344889,0.050267472,0.050190285,0.050136027,0.050097421,0.050069829,0.050050161,0.050036296,0.050026696,0.0500202,0.050015928,0.050013239,0.050011699,0.050011051,0.050011184,0.050012116,0.050013351,0.0500139
23.5300062,0.050441686,0.050360904,0.050280147,0.050199667,0.05014311,0.050102862,0.050074066,0.050053492,0.050038932,0.050028797,0.050021898,0.050017332,0.050014442,0.05001278,0.050012076,0.050012212,0.050013208,0.050014529,0.050015116
23.782828,0.050465751,0.050380786,0.05029588,0.05021131,0.050151903,0.050109622,0.050079341,0.050057653,0.050042241,0.050031452,0.050024057,0.050019129,0.05001599,0.050014174,0.050013398,0.050013539,0.050014614,0.050016041,0.050016674
24.0387997,0.05049125,0.050401849,0.050312546,0.050223641,0.050161216,0.050116788,0.050084943,0.050062087,0.050045784,0.050034311,0.050026397,0.050021089,0.050017686,0.050015706,0.050014854,0.050014998,0.050016157,0.050017695,0.050018378
24.2499465,0.050513222,0.050419997,0.050326902,0.050234263,0.050169239,0.050122965,0.050089778,0.050065924,0.050048863,0.050036809,0.050028454,0.05002282,0.050019192,0.050017071,0.050016152,0.050016298,0.050017529,0.050019163,0.050019887
24.505369,0.050540923,0.050442873,0.050344996,0.050247647,0.050179349,0.050130752,0.050095882,0.05007078,0.050052774,0.050039996,0.050031091,0.050025052,0.05002114,0.050018841,0.050017838,0.050017987,0.050019306,0.05002106,0.050021837
24.7407682,0.050567635,0.05046493,0.050362438,0.050260547,0.050189093,0.05013826,0.050101775,0.050075477,0.05005657,0.050043105,0.050033678,0.050027252,0.050023069,0.050020599,0.050019514,0.050019664,0.050021069,0.050022936,0.050023763
24.97149,0.050594932,0.050487467,0.050380258,0.050273724,0.050199046,0.050145932,0.050107801,0.05008029,0.05006047,0.050046311,0.050036358,0.050029542,0.050025084,0.05002244,0.050021272,0.050021423,0.050022913,0.050024895,0.050025772
